WAGNER,wagner-seahawks,Wagner
BUCK,bucknell-bison,Bucknell
LOYMRY,loyola-marymount-lions,LMU
ILLCHI,illinoischicago-flames,Ill.-Chicago
STNYBRK,stony-brook-seawolves,Stony Brook
NEVADA,nevada-wolf-pack,Nevada
ARKPB,arkansaspine-bluff-golden-lions,Ark.-Pine Bluff
NEAST,northeastern-huskies,Northeastern
MOREHD,morehead-state-eagles,Morehead St.
SNCLRA,santa-clara-broncos,Santa Clara
RUT,rutgers-scarlet-knights,Rutgers
NICHST,nicholls-state-colonels,Nicholls St.
WASH,washington-huskies,Washington
AMER,american-eagles,American
SAV,savannah-state-tigers,Savannah St.
FAU,florida-atlantic-owls,FAU
LAMON,louisianamonroe-warhawks,UL-Monroe
BUTLER,butler-bulldogs,Butler
GMASON,george-mason-patriots,George Mason
JVILLE,jacksonville-dolphins,Jacksonville
CUSE,syracuse-orange,Syracuse
SFLA,south-florida-bulls,South Florida
MASLOW,umass-lowell-river-hawks,UMass Lowell
RIDER,rider-broncs,Rider
SACST,sacramento-state-hornets,Sacramento St.
WYO,wyoming-cowboys,Wyoming
TNMART,ut-martin-skyhawks,UT Martin
ARK,arkansas-razorbacks,Arkansas
ALST,alabama-state-hornets,Alabama St.
TEXAM,texas-am-aggies,Texas A&amp;M
CAMP,campbell-fighting-camels,Campbell
BC,boston-college-eagles,Boston College
OAK,oakland-golden-grizzlies,Oakland
DART,dartmouth-big-green,Dartmouth
BU,boston-university-terriers,Boston U.
MURYST,murray-state-racers,Murray St.
NAU,northern-arizona-lumberjacks,N. Arizona
TEXAS,texas-longhorns,Texas
SAMFORD,samford-bulldogs,Samford
UIW,incarnate-word-cardinals,Incarnate Word
OKLA,oklahoma-sooners,Oklahoma
JAXST,jacksonville-state-gamecocks,Jax. State
FAMU,florida-am-rattlers,Florida A&amp;M
LATECH,louisiana-tech-bulldogs,Louisiana Tech
HIGHPT,high-point-panthers,High Point
NAVY,navy-midshipmen,Navy
NTEXAS,north-texas-mean-green,North Texas
COPPST,coppin-state-eagles,Coppin St.
MONST,montana-state-bobcats,Montana St.
STNFRD,stanford-cardinal,Stanford
LOYMD,loyolamaryland-greyhounds,Loyola-Md.
DEL,delaware-fightin-blue-hens,Delaware
BCU,bethunecookman-wildcats,Bethune-Cook.
FLA,florida-gators,Florida
CALBPTST,california-baptist-lancers,Cal Baptist
IPFW,pfw-mastodons,PFW
HAWAII,hawaii-warriors,Hawaii
WVU,west-virginia-mountaineers,West Virginia
